SiteCode,SampleCode,Sample_Date,DateTime,Gage_Ht,Temperature  (C),pH (pH),EC (uS/cm),Cl (mg/L),NO3-N (ug N/L),SO4 (mg/L),Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),NH4-N (ug/L),PO4 (mg/L),dissolved org C (mg/L),dissolved inorganic C (mg/L),total dissolved N (mg/L),total dissolved P (ug P/L),SiO2 (mg/L),dissolved org N (mg/L),total suspended sediment (mg/L)
RI,100030041,2/13/1984,2/13/1984 0:00,1.32,19,6.77,48.9,6.3,57,-9999,4.46,0.55,1.03,2.98,7.2,-9999,2.13,3.67,-9999,4.3,15.1,-9999,13.13
QT,100020050,2/13/1984,2/13/1984 0:00,1.3,20,7.42,87.9,8.7,37,-9999,6.17,0.28,3.51,5.55,2.5,-9999,1.8,7.27,-9999,4.3,21,-9999,5.62
QS,100010050,2/13/1984,2/13/1984 10:54,4.02,20,7.24,42.1,6.9,26,-9999,4,0.23,1.1,1.79,18.6,-9999,3.2,1,-9999,4,6,-9999,0.9
RI,100030046,2/16/1984,2/16/1984 0:00,1.19,19.5,6.55,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030055,2/16/1984,2/16/1984 0:00,1.14,18.5,6.7,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030056,2/16/1984,2/16/1984 0:00,1.13,18.5,6.7,46,6.4,71,-9999,4.76,0.51,1.13,3,11.1,-9999,0.9,4.87,-9999,-9999,16.9,-9999,-9999
RI,100030054,2/16/1984,2/16/1984 0:00,1.14,18.5,6.65,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030048,2/16/1984,2/16/1984 0:00,1.16,19,6.6,42.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030049,2/16/1984,2/16/1984 0:00,1.16,19,6.65,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030047,2/16/1984,2/16/1984 0:00,1.18,19,6.55,42,6.8,67,-9999,4.37,0.49,1,2.54,15.1,-9999,1.6,10.34,-9999,-9999,13,-9999,-9999
RI,100030051,2/16/1984,2/16/1984 0:00,1.14,19,6.67,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030057,2/16/1984,2/16/1984 0:00,1.13,18.5,6.75,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030052,2/16/1984,2/16/1984 0:00,1.14,18.5,6.7,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030053,2/16/1984,2/16/1984 0:00,1.14,18.5,6.55,44.5,6.6,70,-9999,4.7,0.52,1.1,2.96,11.3,-9999,0.9,5.47,-9999,-9999,16.3,-9999,-9999
RI,100030045,2/16/1984,2/16/1984 0:00,1.21,19,6.5,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030044,2/16/1984,2/16/1984 0:00,1.24,19,6.45,40,7,65,-9999,4.3,0.49,0.91,2.35,21,-9999,2.14,5.87,-9999,-9999,10.8,-9999,-9999
RI,100030043,2/16/1984,2/16/1984 0:00,1.28,18,-9999,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030042,2/16/1984,2/16/1984 0:00,1.34,18,-9999,38.3,7.2,61,-9999,4.21,0.46,0.84,2.24,17.3,-9999,2.29,9.6,-9999,-9999,8.1,-9999,-9999
RI,100030050,2/16/1984,2/16/1984 0:00,1.16,19,6.65,43,6.5,68,-9999,4.62,0.5,1.09,2.79,14.3,-9999,1.29,6,-9999,-9999,14.6,-9999,-9999
RI,100030059,2/17/1984,2/17/1984 0:00,1.14,18.5,6.75,46,6.5,70,-9999,4.85,0.52,1.14,2.68,11.3,-9999,0.94,9.4,-9999,-9999,17.4,-9999,-9999
RI,100030060,2/17/1984,2/17/1984 0:00,1.14,18.5,6.75,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030061,2/17/1984,2/17/1984 0:00,1.13,18,6.8,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030063,2/17/1984,2/17/1984 0:00,1.12,17.5,6.78,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030064,2/17/1984,2/17/1984 0:00,1.1,18,6.78,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030065,2/17/1984,2/17/1984 0:00,1.1,18,6.8,47,6.4,70,-9999,4.86,0.53,1.18,3.29,9.1,-9999,0.84,6.47,-9999,-9999,18.5,-9999,-9999
RI,100030058,2/17/1984,2/17/1984 0:00,1.12,18.5,6.8,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RI,100030062,2/17/1984,2/17/1984 0:00,1.12,18,6.75,46,6.6,71,-9999,5.03,0.52,1.23,3.17,9.4,-9999,0.74,6.34,-9999,-9999,18.1,-9999,-9999
QT,100020051,2/21/1984,2/21/1984 0:00,1.28,21,7.02,100,9,66,-9999,7.31,0.27,4.22,6.67,2.5,-9999,0.45,11.74,-9999,4,24.3,-9999,4.77
QS,100010051,2/21/1984,2/21/1984 10:40,3.2,19.7,7.03,53,7.5,70,0.79,4.58,0.26,1.54,2.61,2.5,-9999,1,2.74,-9999,4,12.4,-9999,1.06
RI,100030066,2/21/1984,2/21/1984 0:00,1.06,19,6.97,61,6.4,87,-9999,5.36,0.53,1.43,3.92,2.5,-9999,0.45,6.07,-9999,2.6,23.1,-9999,1.48
QT,100020052,2/27/1984,2/27/1984 0:00,1.26,22,7.08,107.9,8.9,66,-9999,7.54,0.27,4.62,7.48,2.5,-9999,0.49,11.47,-9999,6.2,24.4,-9999,5.29
RI,100030067,2/27/1984,2/27/1984 0:00,1.04,20,7.05,63.2,6.2,73,-9999,5.42,0.56,1.48,4.22,2.5,-9999,0.34,5.2,-9999,5.1,23,-9999,1.45
QS,100010052,2/27/1984,2/27/1984 10:15,3,20,7.22,56.9,7.5,72,-9999,4.95,0.25,1.77,2.92,2.5,-9999,0.78,2.74,-9999,3.6,12.8,-9999,0.98
RI,100030068,3/5/1984,3/5/1984 0:00,1.04,19,7.13,65,6.2,67,-9999,5.51,0.58,1.46,4.18,6.5,-9999,0.54,6.34,-9999,2.5,23.5,-9999,2.4
QT,100020053,3/5/1984,3/5/1984 0:00,1.24,21,7.02,111,7.4,78,-9999,7.93,0.27,4.77,7.61,2.5,-9999,0.66,11.11,-9999,3.6,25,-9999,3.97
QS,100010053,3/5/1984,3/5/1984 9:40,2.77,20,7.21,59,9,79,0.25,4.96,0.28,1.82,3.01,2.5,-9999,0.95,3.27,-9999,2.9,13.2,-9999,0.91
QS,100010054,3/12/1984,3/12/1984 10:45,2.7,20.5,7.4,61,7.7,64,1.34,4.98,0.28,1.89,3.1,2.5,-9999,0.85,3.13,-9999,2.5,12.9,-9999,1.12
RI,100030069,3/12/1984,3/12/1984 0:00,1.02,19,6.93,66.8,6.4,50,-9999,5.69,0.62,1.47,4.43,7.6,-9999,0.32,6.2,-9999,2.5,20,-9999,1.3
QT,100020054,3/12/1984,3/12/1984 0:00,1.24,22,7.18,119,9,63,0.62,7.99,0.27,4.98,8.01,2.5,-9999,0.56,11.47,-9999,-9999,25.8,-9999,5.18
QT,100020055,3/19/1984,3/19/1984 0:00,1.22,21,7.02,115,9,66,-9999,8.1,0.27,4.99,8,2.5,-9999,0.64,11.14,-9999,-9999,25.5,-9999,3.47
QS,100010055,3/19/1984,3/19/1984 11:45,2.74,19.8,6.93,60,7.7,51,1.08,4.77,0.25,1.73,2.92,2.5,-9999,1.5,2.2,-9999,1.7,11.5,-9999,1
RI,100030070,3/19/1984,3/19/1984 0:00,1.02,18,7.01,64.5,6.4,50,-9999,5.51,0.54,1.44,4.27,6.3,-9999,0.58,5.34,-9999,-9999,22.6,-9999,0.98
QS,100010056,3/27/1984,3/27/1984 0:00,2.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,-9999,-9999,-9999,-9999,2.5,-9999,-9999,-9999
QS,100010057,3/28/1984,3/28/1984 10:50,2.42,21,7.41,61.1,7.5,70,0.34,5.05,0.24,1.93,3.06,2.5,-9999,0.92,3.34,-9999,2.9,13,-9999,1.28
QT,100020056,3/28/1984,3/28/1984 0:00,1.2,22,7.32,126,9.1,72,-9999,8.45,0.28,5.22,8.26,6.5,-9999,0.66,11.68,-9999,4.3,26.2,-9999,-9999
RI,100030071,3/28/1984,3/28/1984 0:00,0.96,19,6.82,63,6.3,42,-9999,5.33,0.6,1.46,4.59,9.1,-9999,0.44,6.67,-9999,2.5,20.9,-9999,0.72
RI,100030072,4/2/1984,4/2/1984 0:00,0.94,19.5,7.28,72.5,6.4,45,-9999,5.93,0.61,1.58,4.62,2.5,-9999,0.46,6.74,-9999,3.6,24.8,-9999,0.92
QS,100010058,4/2/1984,4/2/1984 10:00,2.2,21,7.05,56,7.4,81,0.59,5.06,0.24,1.92,3.24,12.1,-9999,0.8,3.6,-9999,4.2,13.3,-9999,0.85
QT,100020057,4/2/1984,4/2/1984 0:00,1.2,22,7.46,120,9.2,75,1.69,8.33,0.26,5.08,8.24,2.5,-9999,0.73,11.54,-9999,2.2,26.3,-9999,3.99
RI,100030073,4/9/1984,4/9/1984 0:00,-9999,-9999,7.57,74,6.4,35,-9999,6.02,0.61,1.58,4.43,6.1,-9999,0.73,6.34,-9999,2.2,25,-9999,2.01
QS,100010059,4/9/1984,4/9/1984 10:35,2.11,21.5,6.95,57.5,7.4,71,0.9,5.2,0.27,1.98,3.2,2.5,-9999,0.9,4.34,-9999,4.9,13.6,-9999,6.25
QT,100020058,4/9/1984,4/9/1984 0:00,1.27,-9999,7.67,129,9.2,58,0.83,8.62,0.26,5.38,8.56,7,-9999,1.01,12.2,-9999,2.2,22,-9999,5.86
QT,100020059,4/17/1984,4/17/1984 0:00,1.22,23,7.13,123,9.2,88,-9999,8.97,0.26,5.43,8.6,6.3,-9999,0.92,12.27,-9999,2.2,27,-9999,7
RI,100030074,4/17/1984,4/17/1984 0:00,0.98,20,6.89,64,6.4,51,-9999,5.9,0.57,1.61,4.78,2.5,-9999,2.45,5.01,-9999,-9999,25.1,-9999,1.76
QS,100010060,4/17/1984,4/17/1984 10:40,2.12,22,-9999,54,7.4,62,-9999,5.33,0.27,1.98,3.24,2.5,-9999,0.98,4.13,-9999,2.2,13.8,-9999,1.58
QS,100010061,4/23/1984,4/23/1984 11:45,2.17,22,7.36,60,8.4,86,0.75,5.38,0.33,2.05,3.45,2.5,-9999,1.45,3.94,-9999,-9999,13.7,-9999,0.72
RI,100030075,4/23/1984,4/23/1984 0:00,0.96,20,6.91,72,6.5,58,-9999,5.91,0.55,1.58,4.81,2.5,-9999,1.19,6,-9999,2.5,24.6,-9999,1.47
QT,100020060,4/23/1984,4/23/1984 0:00,1.2,22.5,7.11,131.8,10.2,84,0.84,9.01,0.33,5.41,8.68,2.5,-9999,0.91,12.34,-9999,3.2,26.5,-9999,3.82
QS,100010062,4/30/1984,4/30/1984 10:30,2.24,21,7.38,65.5,7.9,57,-9999,5.13,0.28,1.99,2.99,2.5,-9999,1.48,3.27,-9999,2.9,12.3,-9999,1.16
QT,100020061,4/30/1984,4/30/1984 0:00,1.18,22,7.09,122,9.8,116,-9999,8.82,0.3,5.21,8.43,9.7,-9999,0.95,11.74,-9999,1.8,26.1,-9999,7.4
RI,100030076,4/30/1984,4/30/1984 0:00,0.98,19,7.09,68,6.4,60,-9999,5.75,0.53,1.52,4.43,6.4,-9999,0.84,6,-9999,3.2,23.4,-9999,1.1
QS,100010063,5/7/1984,5/7/1984 12:10,2.88,22,7.15,55,7.9,28,1.62,5.43,0.25,1.3,2.13,2.5,-9999,2.35,2.87,-9999,-9999,8.3,-9999,1.45
RI,100030077,5/7/1984,5/7/1984 0:00,0.98,20,7.42,72,6.7,48,-9999,5.9,0.52,1.17,3.54,2.5,-9999,0.84,5.87,-9999,-9999,23.3,-9999,1.32
QT,100020062,5/7/1984,5/7/1984 0:00,1.2,23,7.27,135,10.8,72,0.75,9.47,0.33,5,6.35,7.9,-9999,1.46,12.4,-9999,-9999,25.4,-9999,4.82
RI,100030078,5/14/1984,5/14/1984 0:00,1,20,7.11,67.1,6.9,62,-9999,5.2,0.64,1.11,2.92,8.1,-9999,1.5,5.4,-9999,-9999,19,-9999,1.58
QT,100020063,5/14/1984,5/14/1984 0:00,1.2,23,7.15,123.9,10.2,86,1.79,9.2,0.39,5.07,6.16,6.5,-9999,1.18,12.56,-9999,-9999,-9999,-9999,6.71
QS,100010064,5/14/1984,5/14/1984 9:40,3.04,21,6.19,53.9,8.2,24,1.14,5.09,0.38,1.14,2.03,12.9,-9999,2.54,2.27,-9999,-9999,9,-9999,1.99
QT,100020064,5/21/1984,5/21/1984 0:00,1.2,-9999,7.15,128,6.7,-9999,-9999,-9999,-9999,-9999,-9999,12,-9999,1.72,12.8,-9999,-9999,23.2,-9999,9.7
QS,100010065,5/21/1984,5/21/1984 10:00,2.88,22,6.95,49,7.2,-9999,1.15,4.5,0.17,1.18,1.8,5.1,-9999,2.16,2.7,-9999,-9999,9.6,-9999,0.88
RI,100030079,5/21/1984,5/21/1984 0:00,1,21,7.09,64.9,6,-9999,-9999,4.84,0.52,0.79,2.7,5.1,-9999,1.35,5.81,-9999,-9999,19.4,-9999,0.8
QS,100010066,5/27/1984,5/27/1984 9:45,3.34,21,6.8,44.5,7,24,-9999,4.44,0.19,1.09,1.66,5.9,-9999,2.22,2.6,-9999,-9999,8.3,-9999,1.59
RI,100030080,5/27/1984,5/27/1984 0:00,-9999,20,6.86,57,-9999,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.6,-9999,-9999,-9999,-9999,-9999
QT,100020065,5/29/1984,5/29/1984 0:00,1.22,22,7.11,112.5,10.1,53,1.23,7.89,0.31,4.19,5.84,9,-9999,1.58,9.41,-9999,-9999,23.1,-9999,7.77
QS,100010069,5/30/1984,5/30/1984 15:00,4.7,-9999,6.51,32.5,5.6,24,-9999,3.61,0.19,-9999,-9999,-9999,-9999,4.05,-9999,-9999,-9999,4.4,-9999,5.53
QS,100010067,5/30/1984,5/30/1984 9:10,6.1,-9999,6.47,27.5,4.8,27,-9999,3.18,0.2,-9999,-9999,2.5,-9999,4.1,0.67,-9999,-9999,3,-9999,9.3
QS,100010068,5/30/1984,5/30/1984 11:40,4.85,-9999,6.4,29,5.5,28,-9999,3.62,-9999,-9999,-9999,2.5,-9999,4.6,1.21,-9999,-9999,4,-9999,5.17
QS,100010070,5/31/1984,5/31/1984 9:00,3.9,-9999,6.87,42.5,6.2,31,0.58,-9999,-9999,-9999,-9999,2.5,-9999,2.38,0.67,-9999,-9999,7.5,-9999,1.6
QS,100010071,5/31/1984,5/31/1984 1:15,-9999,-9999,-9999,-9999,6,26,-9999,-9999,-9999,-9999,-9999,10.5,-9999,-9999,-9999,-9999,-9999,7.8,-9999,-9999
QS,100010072,5/31/1984,5/31/1984 1:30,-9999,-9999,-9999,-9999,6.2,30,-9999,-9999,-9999,-9999,-9999,2.5,-9999,-9999,-9999,-9999,-9999,7.6,-9999,-9999
QS,100010073,6/4/1984,6/4/1984 10:19,3.4,22.5,7.25,51,6.9,38,0.86,-9999,0.22,1.13,2.2,8.6,-9999,1.14,2.87,-9999,-9999,11.1,-9999,1.02
QT,100020066,6/4/1984,6/4/1984 0:00,1.22,23,7.06,113,9.3,56,-9999,8.18,0.33,3.9,5.41,2.5,-9999,0.99,11.27,-9999,-9999,23,-9999,5.23
RI,100030081,6/4/1984,6/4/1984 0:00,1.04,21,7,65,6.1,59,-9999,4.89,0.5,1.12,2.88,6.4,-9999,1.31,6.2,-9999,-9999,21.1,-9999,1.55
QS,100010074,6/6/1984,6/6/1984 5:00,5,-9999,-9999,-9999,6.3,-9999,0.22,3.51,0.16,0.73,1.44,2.5,-9999,4.26,-9999,-9999,-9999,9.6,-9999,17.5
QS,100010075,6/11/1984,6/11/1984 9:00,3.85,22,6.67,44,6,19,0.74,4.2,0.21,-9999,-9999,9.2,-9999,2.25,4.34,-9999,-9999,8.3,-9999,4.14
QT,100020067,6/11/1984,6/11/1984 0:00,1.28,23,7.16,90,8.7,22,-9999,6.53,0.24,2.83,3.77,7.7,-9999,1.14,6.34,-9999,-9999,20,-9999,5.15
RI,100030082,6/11/1984,6/11/1984 0:00,1.24,21,6.57,40,4.8,44,-9999,3.27,0.39,0.55,1.8,9.6,-9999,4.27,3.07,-9999,-9999,10,-9999,12.92
QS,100010076,6/14/1984,6/14/1984 17:00,3.4,-9999,7.4,45.5,-9999,-9999,-9999,7.14,0.22,-9999,-9999,-9999,-9999,1.36,2,-9999,-9999,-9999,-9999,-9999
RI,100030083,6/18/1984,6/18/1984 0:00,1.09,21,6.79,58,6.1,62,-9999,4.66,0.5,0.98,2.68,7.2,-9999,0.66,6.1,-9999,-9999,20.2,-9999,1.76
QT,100020068,6/18/1984,6/18/1984 0:00,1.24,22,7.49,102,8.8,35,-9999,7.56,0.28,3.98,4.18,5,-9999,1.09,9.27,-9999,-9999,23,-9999,4.42
QS,100010077,6/18/1984,6/18/1984 11:50,3.3,22.5,7.37,47.5,6.5,22,0.89,4.66,0.23,0.99,1.65,9.6,-9999,1.88,3,-9999,-9999,10.1,-9999,1.07
RI,100030084,6/25/1984,6/25/1984 0:00,1.04,21,6.9,60,6.2,65,-9999,5.09,0.49,1.02,3.45,10.7,-9999,-9999,6.67,-9999,-9999,22.7,-9999,1.94
QT,100020069,6/25/1984,6/25/1984 0:00,1.24,23,7.39,92,8.9,52,1.26,8.37,0.26,4.28,5.15,8.5,-9999,-9999,11.94,-9999,-9999,25,-9999,5.25
QS,100010078,6/25/1984,6/25/1984 10:50,3.1,23,7.49,51,7.1,41,0.57,5.04,0.26,-9999,-9999,15.9,-9999,-9999,5.94,-9999,-9999,12.4,-9999,1.12
RI,100030085,7/2/1984,7/2/1984 0:00,1.09,21,6.98,67.5,6.3,62,-9999,5.18,0.5,1.08,2.89,9.8,-9999,-9999,5.41,-9999,-9999,21.4,-9999,2.5
QT,100020070,7/2/1984,7/2/1984 0:00,1.24,23,7.39,120,8.9,47,1.07,8.17,0.32,4.33,5.7,2.5,-9999,-9999,10.34,-9999,-9999,24.2,-9999,5.23
QS,100010079,7/2/1984,7/2/1984 11:30,3.34,-9999,7.44,58,7.1,24,0.62,4.95,0.23,1.03,1.85,8.2,-9999,-9999,3.67,-9999,-9999,10.7,-9999,1.8
QS,100010080,7/4/1984,7/4/1984 16:45,4.6,-9999,6.7,40.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9
QS,100010081,7/9/1984,7/9/1984 11:00,3.18,-9999,7.58,50.3,7.1,37,0.87,4.54,0.17,1.22,1.9,9.1,-9999,1.4,3.13,-9999,-9999,11.6,-9999,0.97
RI,100030086,7/9/1984,7/9/1984 0:00,1.09,21,7.01,58.4,6.2,66,-9999,5.44,0.44,0.99,2.9,5,-9999,1.1,6.07,-9999,-9999,21.6,-9999,1.6
QT,100020071,7/9/1984,7/9/1984 0:00,1.24,23,7.5,97.8,8.7,32,-9999,7.31,0.19,3.85,4.7,2.5,-9999,1.2,10.34,-9999,-9999,22.9,-9999,4.56
QT,100020072,7/16/1984,7/16/1984 0:00,1.23,24,7.41,107.1,8.7,44,0.66,7.85,0.21,4.33,5.25,2.5,-9999,0.9,8.57,-9999,-9999,24.2,-9999,6.1
QS,100010082,7/16/1984,7/16/1984 11:30,3.14,23,7.48,51.8,6.9,30,1.25,4.53,0.16,1.23,1.92,22,-9999,1.3,1.74,-9999,-9999,11.2,-9999,0.93
RI,100030087,7/19/1984,7/19/1984 0:00,1.04,21,6.99,58.3,6.3,58,-9999,5.51,0.46,1.01,3.03,2.5,-9999,0.6,-9999,-9999,-9999,20.2,-9999,1.05
RI,100030088,7/23/1984,7/23/1984 0:00,1.08,21,7.58,109.1,6.4,51,-9999,5.41,0.43,1.02,3.13,-9999,-9999,2.18,-9999,-9999,-9999,20.6,-9999,1.47
QT,100020073,7/23/1984,7/23/1984 0:00,1.24,23,7.12,57.2,8.9,68,-9999,7.9,0.23,4.71,5.69,-9999,-9999,3,-9999,-9999,-9999,24.2,-9999,6.63
QS,100010083,7/23/1984,7/23/1984 12:00,2.6,-9999,7.5,50.3,7.1,36,-9999,4.72,0.17,1.32,2.44,2.5,-9999,3.2,-9999,-9999,-9999,11.7,-9999,1.15
QT,100020074,7/30/1984,7/30/1984 0:00,1.26,23,7.57,95.6,8.8,34,-9999,7.06,0.2,3.77,4.87,-9999,-9999,-9999,6.5,-9999,-9999,21.9,-9999,11.3
QS,100010084,7/30/1984,7/30/1984 11:40,3.04,22.5,7.62,49,7.4,18,1.76,4.28,0.16,0.96,1.73,5,-9999,-9999,1.64,-9999,-9999,7.5,-9999,5.4
RI,100030089,7/30/1984,7/30/1984 0:00,1.19,21.5,6.79,51.4,6.6,55,-9999,4.75,0.44,0.84,2.42,2.5,-9999,-9999,3.13,-9999,-9999,12.4,-9999,2.37
QS,100010085,8/6/1984,8/6/1984 11:10,2.6,22,6.94,50.7,7.1,27,0.91,4.5,0.16,1.32,2.06,2.5,-9999,-9999,2.2,-9999,-9999,10.3,-9999,1.28
QT,100020075,8/6/1984,8/6/1984 0:00,1.24,22,7.34,103.4,8.7,39,-9999,7.22,0.19,3.99,4.83,-9999,-9999,-9999,9.74,-9999,-9999,23.1,-9999,4.53
RI,100030090,8/6/1984,8/6/1984 0:00,1.08,20,6.99,62.2,7.8,51,-9999,5.51,0.45,1.02,3.45,2.5,-9999,-9999,6.6,-9999,-9999,21.6,-9999,1.6
QS,100010086,8/13/1984,8/13/1984 11:00,2.44,23,7.39,47.7,7.1,45,0.99,4.79,0.16,1.26,2.07,2.5,-9999,1.1,4.2,-9999,-9999,12.5,-9999,0.87
RI,100030091,8/13/1984,8/13/1984 0:00,1,20,7.04,67.2,6.3,53,-9999,5.75,0.46,1.11,3.75,7.5,-9999,0.6,7.34,-9999,-9999,23.8,-9999,1.1
QT,100020076,8/13/1984,8/13/1984 0:00,1.22,23,7.31,107.4,8.6,63,0.88,7.89,0.19,4.69,5.74,2.5,-9999,0.9,-9999,-9999,-9999,25,-9999,3.69
RI,100030092,8/20/1984,8/20/1984 0:00,1.04,20,7.07,62.3,6.3,44,1.08,5.79,0.63,1.32,3.32,19.5,-9999,0.8,7.4,-9999,-9999,22.8,-9999,9.6
QT,100020077,8/20/1984,8/20/1984 0:00,1.22,23,7.38,110.4,8.7,70,-9999,8.61,0.31,3.54,7.9,9.1,-9999,0.8,12.4,-9999,-9999,25.5,-9999,5.87
QS,100010087,8/20/1984,8/20/1984 10:50,2.24,23.1,7.46,60,7.3,50,0.8,5.1,0.28,-9999,2.59,10.5,-9999,1,5.74,-9999,-9999,13.1,-9999,0.87
QS,100010088,8/27/1984,8/27/1984 11:30,3.28,23,7.1,35.6,6.5,19,-9999,3.73,0.22,1,1.63,8.2,-9999,2.5,1.6,-9999,-9999,6.7,-9999,3.9
RI,100030093,8/27/1984,8/27/1984 0:00,2.38,21,6.48,37.6,5.8,59,-9999,4.2,0.54,0.79,2.01,14.9,-9999,2.2,3.4,-9999,-9999,12.5,-9999,34.1
QT,100020078,8/27/1984,8/27/1984 0:00,1.3,23,7.52,70.1,7.7,31,-9999,6.07,0.38,2.72,-9999,9.5,-9999,2.7,6.4,-9999,-9999,18.3,-9999,10.6
QT,100020079,9/4/1984,9/4/1984 0:00,1.22,23,6.91,103.6,8.4,54,-9999,8.25,0.34,3.43,-9999,8.6,-9999,1.1,4.07,-9999,-9999,25,-9999,6.92
QS,100010089,9/4/1984,9/4/1984 11:00,2.47,23,7.07,53.6,6.7,32,0.66,4.91,0.26,1.46,2.56,2.5,-9999,1.3,11.5,-9999,-9999,12.3,-9999,1.02
RI,100030094,9/4/1984,9/4/1984 0:00,1.02,21,6.88,60.3,6,48,-9999,5.8,0.61,1.71,4.14,2.5,-9999,0.7,6.17,-9999,-9999,-9999,-9999,0.82
QS,100010090,9/10/1984,9/10/1984 11:00,2.5,22.3,6.99,47.6,6.6,32,1.07,4.72,0.21,1.53,1.58,2.5,-9999,1.6,3.03,-9999,-9999,11.8,-9999,0.9
RI,100030095,9/10/1984,9/10/1984 0:00,1.02,20,6.86,59.4,6.1,55,-9999,5.23,0.58,1.14,3.54,2.5,-9999,1,4.54,-9999,-9999,19.7,-9999,1.57
QT,100020080,9/10/1984,9/10/1984 0:00,1.22,23,7.42,96.8,8.7,70,-9999,8.3,0.36,4.91,7.26,2.5,-9999,1.2,15.07,-9999,-9999,25.4,-9999,4.9
QS,100010091,9/13/1984,9/13/1984 14:30,6.2,20.5,6.76,30,-9999,-9999,-9999,3.81,0.23,-9999,0.72,11.1,-9999,6.3,0.74,-9999,-9999,-9999,-9999,-9999
QS,100010092,9/18/1984,9/18/1984 11:45,3.08,22,6.83,40.4,5.9,22,-9999,-9999,-9999,-9999,-9999,7.3,-9999,2.2,2.47,-9999,-9999,9,-9999,1.56
RI,100030096,9/18/1984,9/18/1984 0:00,1.12,20,6.37,42.6,4.9,48,-9999,4.24,0.5,0.98,3.87,9.9,-9999,3,5.34,-9999,-9999,13.7,-9999,4.78
QT,100020081,9/18/1984,9/18/1984 0:00,1.28,22.5,6.81,86.7,8.1,35,-9999,6.91,0.28,2.86,5.9,6.2,-9999,1.4,14.07,-9999,-9999,21.7,-9999,5.39
QS,100010093,9/24/1984,9/24/1984 11:30,2.56,22.5,7.09,48,6.8,40,0.77,4.75,-9999,1.42,2.86,5.8,-9999,1,3.07,-9999,-9999,11.8,-9999,0.91
RI,100030097,9/24/1984,9/24/1984 0:00,1.04,19.5,6.68,54.9,6.2,56,-9999,5.46,-9999,1.28,3.49,8,-9999,0.6,6.13,-9999,-9999,21.4,-9999,1.27
QT,100020082,9/24/1984,9/24/1984 0:00,1.26,22,7.31,98.3,8.7,49,-9999,7.66,-9999,4.21,6.72,6.9,-9999,0.8,11.34,-9999,-9999,23.7,-9999,4.7
QT,100020083,10/1/1984,10/1/1984 0:00,1.24,23,7.16,99.4,8.4,64,-9999,8.05,0.29,4.65,7.23,8.4,-9999,2.51,14.2,-9999,-9999,24.6,-9999,5.6
QS,100010094,10/1/1984,10/1/1984 11:00,2.66,22.5,7.3,43.4,5.7,32,-9999,4.3,0.22,1.3,2.83,7.9,-9999,2.5,3.34,-9999,-9999,10,-9999,1.58
RI,100030098,10/1/1984,10/1/1984 0:00,1.06,20,6.56,49.7,5.5,59,1.17,5.19,0.33,1.2,4.6,11,-9999,1.6,6.67,-9999,-9999,18.3,-9999,2.6
